Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
5.983333333,-44.96666667,1,0,40,266,6,8,0,0
5.866666667,-44.93333333,2,0,43,254,10,4,0,0
5.666666667,-44.76666667,3,0,26,292,5,5,0,0
5.7,-44.71666667,2,0,51,254,8,5,0,0
5.7,-44.73333333,2,1,41,273,13,9,0,0
5.783333333,-44.63333333,3,0,55,251,13,6,0,0
5.833333333,-44.58333333,0.5,0,47.5,258,13,3,0,0
5.883333333,-44.5,1,0,59,285,5,4,0,0
5.966666667,-44.46666667,1,0,30,271,13,6,0,0
6.016666667,-44.38333333,2,0,42,231,11,4,0,0
6.5,-44.3,1,0,36,245,4,3,0,0
6.116666667,-44.3,4,0,54,285,5,2,0,0
6.216666667,-44.21666667,3,0,61,326,7,4,0,0
6.316666667,-44.08333333,8,0,27,206,18,2,0,0
6.216666667,-44.08333333,1,0,28,284,10,3,0,0
6.116666667,-44.08333333,2,0,41,300,23,3,0,0
6.033333333,-44.08333333,3,0,40,275,10,1,0,0
6,-44.08333333,0,0,25,241,10,3,0,0
